symbol,size
AARTIIND,850
ABBOTINDIA,25
ABFRL,2600
ACC,500
ADANIENT,1000
ADANIPORTS,1250
ALKEM,200
AMARAJABAT,1000
AMBUJACEM,3000
APLLTD,550
APOLLOHOSP,250
APOLLOTYRE,2500
ASHOKLEY,4500
ASIANPAINT,300
ASTRAL,275
AUBANK,500
AUROPHARMA,650
AXISBANK,1200
BAJAJ-AUTO,250
BAJAJFINSV,75
BAJFINANCE,125
BALKRISIND,400
BANDHANBNK,1800
BANKBARODA,11700
BATAINDIA,550
BEL,3800
BERGEPAINT,1100
BHARATFORG,1500
BHARTIARTL,1851
BHEL,10500
BIOCON,2300
BOSCHLTD,50
BPCL,1800
BRITANNIA,200
CADILAHC,2200
CANBK,5400
CANFINHOME,975
CHOLAFIN,1250
CIPLA,650
COALINDIA,4200
COFORGE,200
COLPAL,350
CONCOR,1563
COROMANDEL,625
CROMPTON,1100
CUB,3100
CUMMINSIND,600
DABUR,1250
DALBHARAT,250
DEEPAKNTR,500
DIVISLAB,200
DIXON,125
DLF,3300
DRREDDY,125
EICHERMOT,350
ESCORTS,550
EXIDEIND,3600
FEDERALBNK,10000
GAIL,6100
GLENMARK,1150
GMRINFRA,22500
GODREJCP,1000
GODREJPROP,650
GRANULES,1550
GRASIM,475
GUJGASLTD,1250
HAL,475
HAVELLS,500
HCLTECH,700
HDFC,300
HDFCAMC,200
HDFCBANK,550
HDFCLIFE,1100
HEROMOTOCO,300
HINDALCO,2150
HINDPETRO,2700
HINDUNILVR,300
IBULHSGFIN,3100
ICICIBANK,1375
ICICIGI,425
ICICIPRULI,1500
IDEA,70000
IDFCFIRSTB,9500
IGL,1375
INDHOTEL,3900
INDIACEM,2900
INDIAMART,75
INDIGO,500
INDUSINDBK,900
INDUSTOWER,2800
INFY,600
IOC,6500
IPCALAB,225
IEX,1250
IRCTC,325
ITC,3200
JKCEMENT,175
JINDALSTEL,2500
JSWSTEEL,1350
JUBLFOOD,250
KOTAKBANK,400
L&TFH,8924
LALPATHLAB,250
LICHSGFIN,2000
LT,575
LTI,150
LTTS,200
LUPIN,850
M&M,700
M&MFIN,4000
MANAPPURAM,6000
MARICO,2000
MARUTI,100
MCDOWELL-N,1250
MCX,350
METROPOLIS,200
MFSL,650
MGL,600
MINDTREE,400
MOTHERSUMI,3500
MPHASIS,325
MRF,10
MUTHOOTFIN,750
NAM-INDIA,1600
NATIONALUM,17000
NAUKRI,125
NAVINFLUOR,225
NESTLEIND,50
NMDC,6700
NTPC,5700
OBEROIRLTY,700
OFSS,125
ONGC,7700
PAGEIND,30
PEL,275
PERSISTENT,150
PETRONET,3000
PFC,6200
PFIZER,125
PIDILITIND,500
PIIND,250
PNB,16000
POLYCAB,300
POWERGRID,4000
PVR,407
RAMCOCEM,850
RBLBANK,2900
RECLTD,6000
RELIANCE,250
SAIL,9500
SBILIFE,750
SBIN,1500
SHREECEM,25
SIEMENS,275
SRF,125
SRTRANSFIN,400
SUNPHARMA,1400
SUNTV,1500
SYNGENE,850
TATACHEM,1000
TATACONSUM,1350
TATAMOTORS,2850
TATAPOWER,6750
TATASTEEL,850
TCS,300
TECHM,600
TITAN,375
TORNTPHARM,250
TORNTPOWER,1500
TRENT,725
TVSMOTOR,1400
UBL,700
ULTRACEMCO,100
UPL,1300
VEDL,3100
VOLTAS,500
WIPRO,1600
ZEEL,3000
BANKNIFTY,25
NIFTY,50
FINNIFTY,40
